blue_detuning_MHz,sideband_ratio,eom_offset_kHz,cooling_total_intensity_mW_cm2,n_fock,n_ss,pe_ss,total_scattering_rate_kHz,p_tail_last2,temperature_cold_uK,temperature_hot_uK,e_single_MHz,gamma_enc_Hz,gamma_scatt_hot_Hz,gamma_evap_Hz,p_direct,p_second_escape,beta1_Hz,beta2_Hz,beta1_over_R,beta2_over_R,P0_final,P1_final,P2_final,P1_max,t_at_P1_max_s,prob_sum_error,steady_runtime_s
20.0,0.06,4.75,4.0,6,0.39617777156382283,8.186172010760016e-05,2.9575260527529954,0.006675373309724679,4.234492334050545,164.20926144625793,10.0,490202.8835948901,147654.5022576253,147654.3962355315,8.62235697941366e-31,0.0,486958.3873395624,0.0,121739.5968348906,0.0,0.024658003639315338,0.9753336918319692,8.304528719724048e-06,0.9753336918319692,2.0,1.9539925233402755e-14,30.20759689999977
25.0,0.06,4.75,4.0,6,0.37794540294483236,6.910411035919244e-05,2.4966151025289185,0.006322383338418272,4.148343327013719,204.1168047172729,12.5,397290.7337229878,96962.01169409676,96961.95813324349,1.0559245465532604e-15,0.0,393300.25809359294,0.0,98325.06452339824,0.0,0.024657957211859535,0.9753319665420915,1.0076246016438088e-05,0.9753319665420915,2.0,3.3306690738754696e-14,30.46508979999635
30.0,0.06,4.75,4.0,6,0.31732577154423725,5.770198522977892e-05,2.0846755282973324,0.0054148697422756725,3.861912026658141,243.82406569496916,15.0,348812.7783992909,68301.80623316656,68301.77981823511,1.0811715060343431e-07,0.0,343859.971867079,0.0,85964.99296676974,0.0,0.024657922504727224,0.9753305562557494,1.1521239544766508e-05,0.9753305562557494,2.0,2.3314683517128287e-14,28.178706200007582
35.0,0.06,4.75,4.0,6,0.2343720192210021,4.825647676831232e-05,1.7434252183897496,0.0029912151198931447,3.4699506999667764,283.4257966463297,17.5,326700.9633619982,50619.27994671879,50619.26875546926,0.003014246709238089,0.0,320491.33308953495,0.0,80122.83327238374,0.0,0.024657902373150013,0.9753296946028158,1.240302402771148e-05,0.9753296946028158,2.0,8.770761894538737e-15,26.533652500002063
38.0,0.06,4.75,4.0,6,0.19513584451699192,4.434165683563914e-05,1.6019893686727007,0.002163035151664986,3.2845574819318357,307.2366187951258,19.0,313470.37478002557,43100.38485031388,43100.37960518392,0.10726487393723287,0.0,307225.29078686325,0.0,76806.32269671581,0.0,0.024657889582076167,0.9753288981288842,1.3212289023342306e-05,0.9753288981288842,2.0,2.1094237467877974e-14,28.83102240000153
40.0,0.06,4.75,4.0,6,0.1709733152089153,4.1947569624108085e-05,1.5154950305210095,0.0018937298103177743,3.1703881191414807,323.1199263435562,20.0,305540.84720332146,38976.37244813368,38976.3702874797,0.46670432500495124,0.0,301529.2996753359,0.0,75382.32491883397,0.0,0.02465788374452443,0.9753289239384555,1.319231701347144e-05,0.9753289239384555,2.0,1.8207657603852567e-14,26.901195900005405
42.0,0.06,4.75,4.0,6,0.1481545901985558,3.96493986943437e-05,1.4324659860601332,0.0016960599102448987,3.0625683101759407,339.0095834458115,21.0,298288.6878242785,35414.04677441801,35414.04677441801,0.8877632100866371,0.1122367899133629,264809.72303541226,33478.96478886624,66202.43075885306,8369.74119721656,0.12077252319060192,0.8792152910506892,1.2185758714283082e-05,0.8792152910506892,2.0,8.770761894538737e-15,29.45376989999204
45.0,0.06,4.75,4.0,6,0.11816831421314815,3.651926811685054e-05,1.3193796409492966,0.001439965069663828,2.92088140405534,362.8641119065219,22.5,287353.8323798561,30917.010805191352,30917.010805191352,0.15518762568178002,0.84481237431822,44593.75897759006,242760.07340226602,11148.439744397516,60690.018350566505,0.46518329589829843,0.5348089934355924,7.710666079689238e-06,0.5348091396163115,1.9699624530663329,3.164135620181696e-14,28.803889500006335
50.0,0.06,4.75,4.0,6,0.08213978511598674,3.227940247001945e-05,1.1662004371139352,0.0011795122857748408,2.7506444989345775,402.68756727945294,25.0,266287.07068657695,25113.27907203228,25113.27907203228,0.0005049329843467643,0.9994950670156533,134.45712529473107,266152.6135612822,33.61428132368277,66538.15339032056,0.5060452673468548,0.49394679904432987,7.933608814680917e-06,0.49394679904432987,2.0,9.992007221626409e-15,29.040520800001104
55.0,0.06,4.75,4.0,6,0.06263943346598685,2.90425565808081e-05,1.0492586475509251,0.0011198335412936876,2.6585041979883455,442.58911925655855,27.5,241176.02664681184,20798.096996740143,20798.096996740143,6.709392053371172e-08,0.9999999329060795,0.016181445166477532,241176.01046536668,0.004045361291619383,60294.00261634167,0.5061679709299054,0.49382328903198025,8.740038122931767e-06,0.49382328903198025,2.0,1.5765166949677223e-14,26.351121200001216
60.0,0.06,4.75,4.0,6,0.05722141515742877,2.6514349632197008e-05,0.9579187892210455,0.0012139618818417794,2.632903744907144,482.55721108152926,30.0,213414.5741342446,17503.967027494196,17503.967027494196,9.149787321372508e-13,0.9999999999990851,1.9526979646096245e-07,213414.57413404936,4.881744911524061e-08,53353.64353351234,0.5061678332754936,0.4938227728499326,9.393874565681722e-06,0.4938227728499326,2.0,1.7319479184152442e-14,27.251596799993422
65.0,0.06,4.75,4.0,6,0.06343823611953814,2.446493913232558e-05,0.8838770400593081,0.0014468920866494042,2.6622785872001864,522.580278201874,32.5,185050.1441636563,14933.101703891065,14933.101703891065,3.7393633889090055e-18,1.0,6.919697341979099e-13,185050.1441636563,1.7299243354947748e-13,46262.53604091408,0.5061668347029793,0.4938221072995693,1.1057997443468047e-05,0.4938221072995693,2.0,1.3433698597964394e-14,27.358877100006794
