ratio,eom_offset_kHz,blue_detuning_MHz,cooling_total_intensity_mW_cm2,n_fock,n_ss,total_scattering_rate_kHz,scatter_hz_per_asymptotic_quantum,p_tail_last2,solver_used,runtime_s
0.025,4.75,60.0,4.0,6,0.045904185662935484,0.45448182223713535,476.3481983755725,0.0009889000862645233,direct(w=auto),16.90786809999554
0.03,4.75,60.0,4.0,6,0.04760544320559018,0.5347492733868361,561.4787165381401,0.001023795543185383,direct(w=auto),16.854503499998827
0.035,4.75,60.0,4.0,6,0.049276788372460786,0.6119556183917049,643.6737958086671,0.0010576547619863944,direct(w=auto),16.852464900002815
0.04,4.75,60.0,4.0,6,0.05091928507505472,0.6862795104795297,723.0992050384268,0.0010905575210257861,direct(w=auto),16.88438189998851
0.045,4.75,60.0,4.0,6,0.05253398390393753,0.7578875229825394,799.9099810517088,0.0011225764047707518,direct(w=auto),16.895724400004838
0.05,4.75,60.0,4.0,6,0.054121912854582274,0.8269350294984155,874.2511754279427,0.0011537775027077918,direct(w=auto),16.846024399987073
0.055,4.75,60.0,4.0,6,0.05568406956822407,0.893567009750911,946.2585358931086,0.0011842210292944907,direct(w=auto),16.796805899997707
0.06,4.75,60.0,4.0,6,0.05722141515742877,0.9579187892210455,1016.059130555031,0.0012139618818417794,direct(w=auto),16.982598799993866
0.065,4.75,60.0,4.0,6,0.05873486973829022,1.0201167200906667,1083.771922802487,0.0012430501578343765,direct(w=auto),16.966225199998007
0.07,4.75,60.0,4.0,6,0.06022530975780257,1.0802788104669006,1149.508304153725,0.001271531640123581,direct(w=auto),16.92877959999896
